stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
51,0.5,1.0,39.03963330000988,,39.0225541999971,39.03963330000988,39.52553650000482,39.52553650000482,39.54190420001396,,39.67567230001441,right,1.0,0,0,0.14336119999643415,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
52,0.5,1.0,39.6926365000254,,39.67598490000819,39.6926365000254,40.175136600009864,40.175136600009864,40.19174860001658,,40.27565950001008,left,-1.0,1,1,0.08476460000383668,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
53,0.5,1.0,40.291742300003534,,40.275964700005716,40.291742300003534,40.77415460001794,40.77415460001794,40.791500600025756,,40.94273010001052,left,-1.0,1,1,0.16546920000109822,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
54,0.5,1.0,40.95846419999725,,40.94306730001699,40.95846419999725,41.45805450002081,41.45805450002081,41.45805450002081,,41.70830350002507,left,-1.0,1,1,0.2346331000153441,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
55,0.5,0.5,41.72414130001562,,41.70861450000666,41.72414130001562,42.208180000016,42.208180000016,42.224553400010336,,42.391293000022415,right,0.5,0,0,0.1703927000053227,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
56,0.5,1.0,42.40779389999807,,42.391608800011454,42.40779389999807,42.89126270002453,42.89126270002453,42.9083206000214,,43.025158200005535,left,-1.0,1,1,0.12446550000458956,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
57,0.5,1.0,43.04127950000111,,43.025475400005234,43.04127950000111,43.52451000001747,43.52451000001747,43.54145600000629,,43.725800700020045,left,-1.0,0,0,0.19578639999963343,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
58,0.5,1.0,43.74167020001914,,43.72610570001416,43.74167020001914,44.227238000021316,44.227238000021316,44.24102720001247,,44.38060120001319,left,-1.0,0,0,0.14262709999457002,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
59,0.5,1.0,44.39317530000699,,44.380894300004,44.39317530000699,44.89356290001888,44.89356290001888,44.89356290001888,,44.943370799999684,right,1.0,0,0,0.03551859999424778,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
60,0.5,1.0,44.95902930002194,,44.94366820002324,44.95902930002194,45.46204690000741,45.46204690000741,45.46204690000741,,45.48039880002034,left,-1.0,0,0,0.0022437000006902963,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
61,0.5,1.0,45.49512460001279,,45.48094510001829,45.49512460001279,45.99450940001407,45.99450940001407,46.012072500016075,,46.02975180000067,left,-1.0,1,1,0.026017399999545887,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
62,0.5,1.0,46.0446911000181,,46.030269600014435,46.0446911000181,46.54427540002507,46.54427540002507,46.54427540002507,,46.64709490002133,left,-1.0,1,1,0.09756019999622367,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
63,0.5,1.0,46.66222690002178,,46.647578100004466,46.66222690002178,47.160948100005044,47.160948100005044,47.160948100005044,47.46221850000438,47.496194900013506,left,-1.0,1,1,0.3246701000025496,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
64,0.5,0.5,47.510813400003826,,47.49650360000669,47.510813400003826,48.011607000022195,48.011607000022195,48.02845750001143,,48.06316720001632,left,-0.5,0,0,0.04595530001097359,001,001,2025-09-04_10h29.53.960,ADAPTIVESTAIRCASE,,2025.1.1,60.940680339146084,2025-09-04 10h30.02.290526 +0530,
